,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Sr.No,Roundÿ??,Instituteÿ??,Programÿ??,Streamÿ??,Quotaÿ??,Categoryÿ??,Seat Genderÿ??,Opening Rankÿ??,Closing Rankÿ??,Remarkÿ??
27,Round 1,"RAJKIYA ENGINEERING COLLEGE,AMBEDKAR NAGAR",Information Technology,B.E./B. Tech (Lateral Entry),Home State,EWS(OPEN),Both Male and Female Seats,90539,90539,Fresh Only
28,Round 1,"RAJKIYA ENGINEERING COLLEGE,AMBEDKAR NAGAR",Information Technology,B.E./B. Tech (Lateral Entry),Home State,OPEN,Both Male and Female Seats,31969,31969,Fresh Only
29,Round 1,"RAJKIYA ENGINEERING COLLEGE,AMBEDKAR NAGAR",Information Technology,B.E./B. Tech (Lateral Entry),Home State,SC(Girl),Female Seats,168715,168715,Fresh Only
30,Round 1,"RAJKIYA ENGINEERING COLLEGE,AMBEDKAR NAGAR",Information Technology,B.E./B. Tech (Lateral Entry),Home State,SC,Both Male and Female Seats,144674,181552,Fresh Only
31,Round 1,"RAJKIYA ENGINEERING COLLEGE,AMBEDKAR NAGAR",Electrical Engineering,B.E./B. Tech (Lateral Entry),Home State,OPEN(GIRL),Female Seats,146438,146438,Fresh Only
32,Round 1,"RAJKIYA ENGINEERING COLLEGE,AMBEDKAR NAGAR",Electrical Engineering,B.E./B. Tech (Lateral Entry),Home State,SC,Both Male and Female Seats,54544,80932,Fresh Only
33,Round 1,"RAJKIYA ENGINEERING COLLEGE,AMBEDKAR NAGAR",Electrical Engineering,B.E./B. Tech (Lateral Entry),Home State,ST,Both Male and Female Seats,134495,134495,Fresh Only
34,Round 1,"PRAYAG INSTITUTE OF TECHNOLOGY & MANAGEMENT,ALLAHABAD",Civil Engineering,B.E./B. Tech (Lateral Entry),Home State,BC(Girl),Female Seats,200204,200204,Fresh Only
35,Round 1,"PRAYAG INSTITUTE OF TECHNOLOGY & MANAGEMENT,ALLAHABAD",Civil Engineering,B.E./B. Tech (Lateral Entry),Home State,BC,Both Male and Female Seats,76933,213350,Fresh Only
36,Round 1,"PRAYAG INSTITUTE OF TECHNOLOGY & MANAGEMENT,ALLAHABAD",Civil Engineering,B.E./B. Tech (Lateral Entry),Home State,EWS(OPEN),Both Male and Female Seats,129317,129317,Fresh Only
37,Round 1,"PRAYAG INSTITUTE OF TECHNOLOGY & MANAGEMENT,ALLAHABAD",Civil Engineering,B.E./B. Tech (Lateral Entry),Home State,OPEN(GIRL),Female Seats,86490,86490,Fresh Only
